Year,Month,Temperature,App Temperature,Visibility,Wind Speed,Humidity,Pressure
2008,12,3.0,0.3,8.7,13.8,0.8,1020.9
2009,1,-1.2,-3.7,6.0,9.7,0.9,1015.8
2009,2,1.8,-1.6,9.7,14.8,0.8,1006.1
2009,3,6.7,4.3,11.2,16.9,0.7,963.7
2009,4,14.6,14.3,11.6,11.4,0.6,1011.6
2009,5,17.9,17.7,11.9,11.0,0.6,1014.9
2009,6,19.6,19.5,10.7,9.9,0.7,1007.7
2009,7,23.2,23.1,11.7,9.8,0.6,1009.3
2009,8,23.0,22.8,11.8,9.1,0.6,989.8
2009,9,19.4,19.3,11.7,9.7,0.6,1014.6
2009,10,11.5,10.4,9.8,12.0,0.8,1011.4
2009,11,7.6,6.2,6.5,10.5,0.9,1014.3
2009,12,2.6,-0.2,7.6,13.4,0.8,973.4
2010,1,-1.3,-4.3,5.6,10.6,0.9,1015.0
2010,2,1.5,-1.7,7.0,13.0,0.9,1008.9
2010,3,6.7,4.6,10.6,14.6,0.7,1018.3
2010,4,12.2,11.6,10.4,11.1,0.7,1016.4
2010,5,16.7,16.4,10.8,12.2,0.8,943.4
2010,6,20.2,20.3,10.7,10.5,0.8,1011.3
2010,7,23.2,23.7,10.9,8.7,0.8,1012.9
2010,8,21.7,21.9,11.1,8.3,0.7,1014.1
2010,9,15.6,15.6,9.1,9.4,0.8,1013.0
2010,10,8.8,8.0,8.7,9.2,0.8,1003.5
2010,11,8.6,7.4,8.0,11.1,0.9,1005.8
2010,12,-0.3,-3.5,6.5,13.4,0.9,996.1
2011,1,0.2,-2.2,6.0,9.7,0.9,1021.9
2011,2,-0.2,-2.8,6.6,10.2,0.9,1018.1
2011,3,5.9,4.6,8.7,9.5,0.8,1004.0
2011,4,13.4,13.0,11.4,12.8,0.6,993.8
2011,5,16.9,16.6,11.3,10.4,0.7,1015.1
2011,6,21.2,21.2,11.7,10.9,0.7,1013.1
2011,7,21.6,21.6,11.3,9.8,0.7,1010.7
2011,8,22.9,22.9,11.6,8.6,0.6,1011.0
2011,9,20.0,19.9,11.5,8.9,0.6,1014.6
2011,10,10.3,9.4,10.7,10.4,0.7,1021.1
2011,11,2.5,1.4,5.5,6.9,0.8,1028.0
2011,12,2.9,0.6,7.5,10.7,0.9,1019.0
2012,1,1.1,-2.0,9.8,12.7,0.8,1019.0
2012,2,-5.1,-8.8,7.2,11.6,0.8,1022.4
2012,3,7.8,6.6,11.6,11.6,0.5,1018.5
2012,4,12.6,11.8,11.2,12.8,0.6,1003.9
2012,5,17.2,17.0,11.9,10.7,0.7,981.4
2012,6,22.2,22.2,11.9,10.4,0.6,904.3
2012,7,24.6,24.5,11.6,10.9,0.6,990.9
2012,8,23.7,23.4,11.9,9.3,0.5,989.8
2012,9,19.5,19.3,11.7,10.6,0.6,1015.8
2012,10,12.1,11.4,9.8,10.4,0.8,1015.3
2012,11,7.9,6.6,8.7,11.7,0.9,1018.1
2012,12,-0.3,-3.7,7.2,12.5,0.9,1012.6
2013,1,1.2,-1.8,8.2,12.6,0.9,997.6
2013,2,3.1,0.4,8.9,12.1,0.9,921.7
2013,3,4.6,2.0,9.6,14.5,0.8,988.1
2013,4,13.0,12.0,11.0,11.4,0.7,1015.7
2013,5,17.3,17.2,11.6,11.6,0.7,1011.0
2013,6,20.1,20.3,11.6,8.9,0.8,1012.7
2013,7,22.6,22.5,12.0,9.3,0.6,1016.8
2013,8,23.2,23.0,14.6,8.0,0.6,1014.5
2013,9,15.4,15.3,13.3,10.6,0.7,1015.6
2013,10,12.9,12.4,11.9,10.2,0.7,1020.2
2013,11,7.9,6.4,10.1,12.4,0.8,1013.1
2013,12,1.5,-0.7,7.9,10.2,0.8,1025.6
2014,1,2.8,0.2,8.5,11.9,0.8,1013.1
2014,2,5.0,2.7,10.7,11.7,0.8,1014.9
2014,3,9.6,8.4,13.8,13.0,0.6,1016.3
2014,4,13.0,12.5,12.8,11.3,0.7,1012.4
2014,5,15.9,15.8,12.7,11.8,0.7,1010.2
2014,6,20.0,19.9,14.2,9.7,0.6,1014.8
2014,7,21.9,21.9,13.3,9.3,0.7,1010.9
2014,8,20.7,20.8,13.5,8.3,0.7,1012.5
2014,9,17.3,17.3,12.1,8.5,0.8,1016.5
2014,10,12.7,12.4,10.1,8.7,0.8,1019.6
2014,11,7.8,6.6,7.9,10.1,0.8,1019.1
2014,12,3.2,0.6,6.5,11.6,0.8,693.5
2015,1,2.3,-0.8,8.4,13.1,0.8,918.4
2015,2,2.4,0.0,8.4,10.8,0.8,1017.3
2015,3,7.3,5.4,11.9,14.4,0.7,1020.4
2015,4,11.6,10.6,14.2,14.3,0.5,1017.9
2015,5,17.1,17.1,12.9,11.4,0.7,1013.3
2015,6,20.5,20.5,13.9,10.4,0.7,1016.8
2015,7,23.7,23.8,14.6,9.1,0.6,1015.1
2015,8,23.8,23.7,13.4,7.4,0.7,1015.7
2015,9,18.3,18.3,12.3,11.5,0.7,958.5
2015,10,10.6,10.2,8.4,9.5,0.8,1019.9
2015,11,6.7,5.6,8.3,9.0,0.8,1019.0
2015,12,2.6,0.8,4.3,7.9,0.9,1032.3
2016,1,-0.1,-3.0,8.2,11.1,0.9,1017.9
2016,2,6.4,4.1,11.0,14.6,0.8,1010.4
2016,3,7.4,5.9,11.2,11.6,0.8,1005.5
2016,4,13.3,12.7,13.3,13.0,0.7,1010.9
2016,5,16.3,16.2,13.3,11.3,0.7,1012.6
2016,6,21.3,21.5,13.1,9.0,0.7,1013.2
2016,7,22.8,22.8,13.7,9.1,0.7,1015.3
2016,8,21.4,21.4,14.0,9.1,0.7,1018.0
2016,9,18.5,18.4,13.7,6.8,0.7,1018.0
2016,10,9.9,8.9,8.0,11.6,0.8,1020.5
2016,11,5.3,3.0,8.3,10.3,0.8,1019.3
2016,12,1.2,-2.0,7.5,11.0,0.9,1019.9
